iter	Passed	Remaining
935	3138	214
936	3141	211
937	3145	207
938	3148	204
939	3151	201
940	3155	197
941	3158	194
942	3162	191
943	3165	187
944	3169	184
945	3172	181
946	3176	177
947	3179	174
948	3182	171
949	3186	167
950	3189	164
951	3193	160
952	3196	157
953	3199	154
954	3203	150
955	3206	147
956	3209	144
957	3213	140
958	3216	137
959	3219	134
960	3223	130
961	3226	127
962	3229	124
963	3233	120
964	3236	117
965	3239	114
966	3243	110
967	3246	107
968	3250	103
969	3254	100
970	3257	97
971	3261	93
972	3264	90
973	3268	87
974	3271	83
975	3274	80
976	3278	77
977	3281	73
978	3284	70
979	3288	67
980	3291	63
981	3294	60
982	3297	57
983	3301	53
984	3304	50
985	3307	46
986	3311	43
987	3314	40
988	3317	36
989	3320	33
990	3324	30
991	3327	26
992	3331	23
993	3334	20
994	3337	16
995	3341	13
996	3344	10
997	3348	6
998	3351	3
999	3355	0
